县,年末总人口,行政区域土地面积（平方公里）,地区生产总值（万元）,第一产业增加值（万元）,第二产业增加值（万元）,第三产业增加值（万元）,地方财政一般预算收入（万元）（2003年及之前为“地方财政预算内收入”）,地方财政一般预算支出（万元）（2003年及之前为“财政总支出”）,各项税收（万元）,城乡居民储蓄存款余额（万元）,人均地区生产总值（元/人）,规模以上工业总产值（现价）（万元）,adcode,province,city,district
北京市大兴区,188.8,1036.0,9075500.0,120817.0,2771752.0,6182931.0,1025124.0,2563258.0,612283.0,14631390.0,,8200436.0,110115.0,北京市,北京市,大兴区
北京市怀柔区,42.2,2123.0,3998605.0,64449.0,1638864.0,2295292.0,431062.0,1472445.0,296629.0,3033126.0,,5763354.4,110116.0,北京市,北京市,怀柔区
北京市平谷区,46.2,948.0,2934891.0,131728.0,770869.0,2032294.0,242172.0,1270620.0,166183.0,2440117.0,,1445898.4,110117.0,北京市,北京市,平谷区
北京市密云区,50.3,2226.0,3409331.0,136377.0,1018689.0,2254265.0,374560.0,1636764.0,267123.0,3240519.0,,2924197.8,110118.0,北京市,北京市,密云区
北京市延庆区,35.7,1995.0,1952859.0,74073.0,509725.0,1369061.0,214461.0,1283115.0,133216.0,2277822.0,,1102134.8,110119.0,北京市,北京市,延庆区
北京市东城区,79.4,,29103900.0,,875000.0,28229000.0,1897000.0,2593200.0,1708600.0,,,2270200.0,110101.0,北京市,北京市,东城区
北京市西城区,113.7,,50073300.0,,2788100.0,47285200.0,4311100.0,4278000.0,4056000.0,,,5759209.2,110102.0,北京市,北京市,西城区
北京市朝阳区,347.3,,71163700.0,31200.0,4965200.0,66167300.0,5355500.0,6580100.0,4852100.0,,,7877700.0,110105.0,北京市,北京市,朝阳区
北京市丰台区,202.5,,18296200.0,8800.0,2717300.0,15570000.0,1277000.0,2527000.0,1136700.0,,,4684200.0,110106.0,北京市,北京市,丰台区
北京市石景山区,57.0,,8064500.0,,1349100.0,6715400.0,634300.0,1170300.0,547300.0,,,2346400.0,110107.0,北京市,北京市,石景山区
北京市海淀区,323.7,,79259600.0,16200.0,7071700.0,72171800.0,4465000.0,6970300.0,3921800.0,,,25770400.0,110108.0,北京市,北京市,海淀区
北京市门头沟区,34.4,,2492500.0,30900.0,671600.0,1790000.0,336500.0,1109100.0,216300.0,,,554600.0,110107.0,北京市,北京市,石景山区
北京市房山区,125.5,,8109100.0,138900.0,3529900.0,4440300.0,700600.0,2494000.0,450000.0,,,9282400.0,110111.0,北京市,北京市,房山区
北京市通州区,167.5,,10592300.0,125500.0,4221100.0,6245700.0,887300.0,3598000.0,673300.0,,,6165700.0,110112.0,北京市,北京市,通州区
北京市顺义区,122.8,,19929000.0,166100.0,5767100.0,13995800.0,1657000.0,3058700.0,1244300.0,,,16591500.0,110113.0,北京市,北京市,顺义区
北京市昌平区,216.6,,10718200.0,89000.0,3250800.0,7378400.0,1055700.0,2232900.0,766400.0,,,12049700.0,110114.0,北京市,北京市,昌平区
天津市宝坻区,91.22,1468.0,3688800.0,239600.0,1329000.0,2120200.0,565113.0,1262309.0,288472.0,3987600.0,,,120115.0,天津市,天津市,宝坻区
天津市宁河区,48.68,1032.0,2858000.0,215000.0,969700.0,1673300.0,250197.0,734444.0,184217.0,2471956.0,,,120117.0,天津市,天津市,宁河区
天津市静海区,78.51,1476.0,4107469.0,208445.0,1947297.0,1951727.0,543818.0,1007910.0,416361.0,4965308.0,,,120118.0,天津市,天津市,静海区
天津市蓟州区,89.45,1590.0,2108010.0,277770.0,531044.0,1299196.0,251045.0,822718.0,135434.0,4681044.0,,,120119.0,天津市,天津市,蓟州区
天津市滨海新区,299.86,,,,,,5026841.0,7911460.0,4444796.0,,,,120116.0,天津市,天津市,滨海新区
天津市和平区,35.56,,,,,,375103.0,519971.0,309305.0,,,,120102.0,天津市,天津市,河东区
天津市河东区,98.33,,,,,,303640.0,600813.0,248354.0,,,,120102.0,天津市,天津市,河东区
天津市河西区,99.78,,,,,,532567.0,800476.0,468427.0,,,,120102.0,天津市,天津市,河东区
天津市南开区,115.37,,,,,,400604.0,637620.0,317051.0,,,,120106.0,天津市,天津市,红桥区
天津市河北区,89.52,,,,,,226603.0,514587.0,173137.0,,,,120105.0,天津市,天津市,河北区
天津市红桥区,57.04,,,,,,192446.0,502151.0,127318.0,,,,120106.0,天津市,天津市,红桥区
天津市东丽区,76.72,,,,,,632298.0,1048102.0,459150.0,,,,120110.0,天津市,天津市,东丽区
天津市西青区,86.64,,,,,,954413.0,1690874.0,648252.0,,,,120111.0,天津市,天津市,西青区
天津市津南区,90.06,,,,,,658973.0,1840708.0,472203.0,,,,120112.0,天津市,天津市,津南区
天津市北辰区,86.84,,,,,,592071.0,800439.0,460478.0,,,,120113.0,天津市,天津市,北辰区
天津市武清区,118.26,,,,,,1190818.0,1903361.0,828988.0,,,,120114.0,天津市,天津市,武清区
赞皇县,28.1,1210.0,775381.0,188223.0,231543.0,355615.0,44193.0,201797.0,,1023685.0,,,130129.0,河北省,石家庄市,赞皇县
